Índice	Disciplina	Código global	Título
1	Administração de Recursos Materiais	1.1	Noções Gerais sobre a Administração de Materiais
2	Administração de Recursos Materiais	1.1.1	Objetivos da Área de Materiais
3	Administração de Recursos Materiais	1.1.2	Área de Materiais Dentro da Organização
4	Administração de Recursos Materiais	1.1.3	Nível de Serviço
5	Administração de Recursos Materiais	1.1.4	Atividades da área de Materiais
6	Administração de Recursos Materiais	1.1.5	A Questão Ética na Administração de Materiais
7	Administração de Recursos Materiais	1.2	Classificação de Materiais
8	Administração de Recursos Materiais	1.2.1	Atributos para a Classificação de Materiais
9	Administração de Recursos Materiais	1.2.2	Tipos de Classificação de Materiais
10	Administração de Recursos Materiais	1.2.2.1	Classificação por Tipo de Demanda
11	Administração de Recursos Materiais	1.2.2.2	Classificação quanto à Aplicação
12	Administração de Recursos Materiais	1.2.2.3	Classificação quanto à Perecibilidade
13	Administração de Recursos Materiais	1.2.2.4	Classificação quanto à Periculosidade
14	Administração de Recursos Materiais	1.2.2.5	Classificação Pela Possibilidade de Fazer ou Comprar
15	Administração de Recursos Materiais	1.2.2.6	Classificação Pelo Valor do Consumo - Classificação ABC
16	Administração de Recursos Materiais	1.2.2.7	Classificação Pela Importância Operacional - Classificação XYZ
17	Administração de Recursos Materiais	1.2.2.8	Materiais Críticos
18	Administração de Recursos Materiais	1.2.2.9	Material Permanente e Material de Consumo
19	Administração de Recursos Materiais	1.2.3	Etapas da Classificação de Materiais
20	Administração de Recursos Materiais	1.2.4	Codificação de Materiais
21	Administração de Recursos Materiais	1.2.4.1	Sistema de Codificação FSC – Federal Supply Classification
22	Administração de Recursos Materiais	1.3	Administração de Estoques
23	Administração de Recursos Materiais	1.3.1	Noções de Gestão de Estoques
24	Administração de Recursos Materiais	1.3.2	Previsão para os Estoques
25	Administração de Recursos Materiais	1.3.2.1	Técnicas Quantitativa
26	Administração de Recursos Materiais	1.3.2.2	Tipos de Demanda
27	Administração de Recursos Materiais	1.3.3	Custos dos Estoques
28	Administração de Recursos Materiais	1.3.3.1	Custos de Armazenamento
29	Administração de Recursos Materiais	1.3.3.2	Custos de Pedido
30	Administração de Recursos Materiais	1.3.3.3	Custos de Falta de Estoque
31	Administração de Recursos Materiais	1.3.4	Sistemas de Controle de Estoques
32	Administração de Recursos Materiais	1.3.4.1	Sistemas de Controle de Estoques
33	Administração de Recursos Materiais	1.3.4.2	Sistema de Revisões Periódicas
34	Administração de Recursos Materiais	1.3.5	Classificação ABC
35	Administração de Recursos Materiais	1.3.6	Avaliação de Estoques
36	Administração de Recursos Materiais	1.3.6.1	Custo Médio
37	Administração de Recursos Materiais	1.3.6.2	PEPS ou FIFO (Primeiro a Entrar, Primeiro a Sair)
38	Administração de Recursos Materiais	1.3.6.3	UEPS ou LIFO (Último a Entrar, Primeiro a Sair)
39	Administração de Recursos Materiais	1.3.7	Indicadores de Estoques
40	Administração de Recursos Materiais	1.3.7.1	Giro de Estoque
41	Administração de Recursos Materiais	1.3.7.2	Cobertura de Estoque
42	Administração de Recursos Materiais	1.3.8	Just-In-Time
43	Administração de Recursos Materiais	1.3.9	Kanban
44	Administração de Recursos Materiais	1.3.10	Sistemas Informatizados de Gestão - MRP I, MRP II e ERC
45	Administração de Recursos Materiais	1.3.10.1	O Material Requirement Planning - MRP
46	Administração de Recursos Materiais	1.4	Administração de Compras
47	Administração de Recursos Materiais	1.4.1	Noções da Gestão de Compras
48	Administração de Recursos Materiais	1.4.2	Objetivos do Setor de Compras
49	Administração de Recursos Materiais	1.4.3	Processo ou Ciclo de Compras
50	Administração de Recursos Materiais	1.4.4	Estrutura do Setor de Compras
51	Administração de Recursos Materiais	1.4.5	Modalidades de Compras
52	Administração de Recursos Materiais	1.4.6	Lote Econômico de Compras - LEC
53	Administração de Recursos Materiais	1.4.7	Cadastro e Seleção de Fornecedores
54	Administração de Recursos Materiais	1.4.7.1	Fonte Única, Simples e Múltipla
55	Administração de Recursos Materiais	1.4.8	Estratégias do Setor de Compras
56	Administração de Recursos Materiais	1.4.8.1	Verticalização ou Horizontalização
57	Administração de Recursos Materiais	1.4.8.2	Centralização ou Descentralização
58	Administração de Recursos Materiais	1.4.9	Compras Eletrônicas ou E-Procurement
59	Administração de Recursos Materiais	1.5	Armazenagem, Distribuição e Transporte
60	Administração de Recursos Materiais	1.5.1	Administração dos Almoxarifados
61	Administração de Recursos Materiais	1.5.2	Recebimento dos Materiais
62	Administração de Recursos Materiais	1.5.3	Movimentação e Armazenagem
63	Administração de Recursos Materiais	1.5.3.1	Critérios e Técnicas de Armazenagem
64	Administração de Recursos Materiais	1.5.3.2	Equipamentos para Armazenagem
65	Administração de Recursos Materiais	1.5.3.3	Layout de Armazenagem
66	Administração de Recursos Materiais	1.5.3.4	Picking
67	Administração de Recursos Materiais	1.6	Distribuição
68	Administração de Recursos Materiais	1.6.1	Modalidades de Transporte
